Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.D_H94E0383|D_FH94E05, 10281.17, 18588.03, 10281.17, 18588.03, 0, 0
Line.D_H94E0383|D_G92E283, 1003.039, 1813.457, 1003.039, 1813.457, 0, 0
Line.E_-2691602|D_G92E283, 7439.197, 13449.75, 7439.197, 13449.75, 0, 0
Line.SG92E2724|E_-2691602, 752.2774, 1360.082, 752.2774, 1360.082, 0, 0
Line.SF34E0409|E_-2523928, 663.4187, 1274.951, 663.4187, 1274.951, 0, 0
Line.E_-2523928|E_-252393, 6059.236, 11644.63, 6059.236, 11644.63, 0, 0
Line.E_-2523938|E_-252394, 5351.606, 10284.78, 5351.606, 10284.78, 0, 0
Line.E_-2523946|E_-252394, 973.0211, 1869.97, 973.0211, 1869.97, 0, 0
Line.E_-2523948|E_-252396, 3980.547, 7649.912, 3980.547, 7649.912, 0, 0
Line.E_-2523962|E_-252396, 796.1104, 1529.989, 796.1104, 1529.989, 0, 0
Line.E_-2523964|E_-252397, 3980.558, 7649.977, 3980.558, 7649.977, 0, 0
Line.E_-2523970|E_-252397, 3405.596, 6545.024, 3405.596, 6545.024, 0, 0
Line.E_-2523974|E_-252410, 1238.4, 2380.019, 1238.4, 2380.019, 0, 0
Line.EL_237969588, 11985.99, 23035.45, 11985.99, 23035.45, 0, 0
Line.EL_237969642, 5484.392, 10540.37, 5484.392, 10540.37, 0, 0
Line.EL_237969631, 13268.76, 25501.32, 13268.76, 25501.32, 0, 0
Line.EL_237969620, 14374.61, 27627.11, 14374.61, 27627.11, 0, 0
Line.EL_167655460, 14772.8, 28392.9, 14772.8, 28392.9, 0, 0
Line.EL_178356939, 1724.975, 3315.386, 1724.975, 3315.386, 0, 0
Line.EL_237969566, 15082.55, 28988.8, 15082.55, 28988.8, 0, 0
Line.EL_190890814, 2388.451, 4590.672, 2388.451, 4590.672, 0, 0
Line.EL_178356855, 10973.06, 19838.84, 10973.06, 19838.84, 0, 0
Line.EL_190890830, 18393.78, 33255.52, 18393.78, 33255.52, 0, 0
Line.EL_224516413, 21235.87, 38394.46, 21235.87, 38394.46, 0, 0
Line.EL_178356735, 15145.42, 27383.22, 15145.42, 27383.22, 0, 0
Line.EL_224516426, -7.657992E-007, -0.1566178, -7.657992E-007, -0.1566178, 0, 0
Line.34E0508|D_FF34E0585, 6.416342, -14.19791, 6.416342, -14.19791, 0, 0
Line.FH94E0506|34E0508, 1.858746, -0.7167003, 1.858746, -0.7167003, 0, 0
Line.EL_1048193, 0.08790959, -0.1944757, 0.08790959, -0.1944757, 0, 0
